filename,grade,subject,book,chapter
fecu101.pdf,6,Science,Curiosity,1
fecu102.pdf,6,Science,Curiosity,2
fecu103.pdf,6,Science,Curiosity,3
fecu104.pdf,6,Science,Curiosity,4
fecu105.pdf,6,Science,Curiosity,5
fecu106.pdf,6,Science,Curiosity,6
fecu107.pdf,6,Science,Curiosity,7
fecu108.pdf,6,Science,Curiosity,8
fecu109.pdf,6,Science,Curiosity,9
fecu110.pdf,6,Science,Curiosity,10
fecu111.pdf,6,Science,Curiosity,11
fecu112.pdf,6,Science,Curiosity,12
fecu1ps.pdf,6,Science,Curiosity,
fees101.pdf,6,Social Science,Exploring Society,1
fees102.pdf,6,Social Science,Exploring Society,2
fees103.pdf,6,Social Science,Exploring Society,3
fees104.pdf,6,Social Science,Exploring Society,4
fees105.pdf,6,Social Science,Exploring Society,5
fees106.pdf,6,Social Science,Exploring Society,6
fees107.pdf,6,Social Science,Exploring Society,7
fees108.pdf,6,Social Science,Exploring Society,8
fees109.pdf,6,Social Science,Exploring Society,9
fees110.pdf,6,Social Science,Exploring Society,10
fees111.pdf,6,Social Science,Exploring Society,11
fees112.pdf,6,Social Science,Exploring Society,12
fees113.pdf,6,Social Science,Exploring Society,13
fees114.pdf,6,Social Science,Exploring Society,14
fegp101.pdf,6,Math,Ganita Prakash,1
fegp102.pdf,6,Math,Ganita Prakash,2
fegp103.pdf,6,Math,Ganita Prakash,3
fegp104.pdf,6,Math,Ganita Prakash,4
fegp105.pdf,6,Math,Ganita Prakash,5
fegp106.pdf,6,Math,Ganita Prakash,6
fegp107.pdf,6,Math,Ganita Prakash,7
fegp108.pdf,6,Math,Ganita Prakash,8
fegp109.pdf,6,Math,Ganita Prakash,9
fegp110.pdf,6,Math,Ganita Prakash,10
fepr101.pdf,6,English,Poorvi,1
fepr102.pdf,6,English,Poorvi,2
fepr103.pdf,6,English,Poorvi,3
fepr104.pdf,6,English,Poorvi,4
fepr105.pdf,6,English,Poorvi,5
fgd.pdf,,,,
geah101.pdf,7,English,An Alien Hand,1
geah102.pdf,7,English,An Alien Hand,2
geah103.pdf,7,English,An Alien Hand,3
geah104.pdf,7,English,An Alien Hand,4
geah105.pdf,7,English,An Alien Hand,5
geah106.pdf,7,English,An Alien Hand,6
geah107.pdf,7,English,An Alien Hand,7
gehc101.pdf,7,English,Honeycomb,1
gehc102.pdf,7,English,Honeycomb,2
gehc103.pdf,7,English,Honeycomb,3
gehc104.pdf,7,English,Honeycomb,4
gehc105.pdf,7,English,Honeycomb,5
gehc106.pdf,7,English,Honeycomb,6
gehc107.pdf,7,English,Honeycomb,7
gehc108.pdf,7,English,Honeycomb,8
gehc109.pdf,7,English,Honeycomb,9
gehc110.pdf,7,English,Honeycomb,10
gemh101.pdf,7,Math,,1
gemh102.pdf,7,Math,,2
gemh103.pdf,7,Math,,3
gemh104.pdf,7,Math,,4
gemh105.pdf,7,Math,,5
gemh106.pdf,7,Math,,6
gemh107.pdf,7,Math,,7
gemh108.pdf,7,Math,,8
gemh109.pdf,7,Math,,9
gemh110.pdf,7,Math,,10
gemh111.pdf,7,Math,,11
gemh112.pdf,7,Math,,12
gemh113.pdf,7,Math,,13
gesc101.pdf,7,Science,,1
gesc102.pdf,7,Science,,2
gesc103.pdf,7,Science,,3
gesc104.pdf,7,Science,,4
gesc105.pdf,7,Science,,5
gesc106.pdf,7,Science,,6
gesc107.pdf,7,Science,,7
gesc108.pdf,7,Science,,8
gesc109.pdf,7,Science,,9
gesc110.pdf,7,Science,,10
gesc111.pdf,7,Science,,11
gesc112.pdf,7,Science,,12
gesc113.pdf,7,Science,,13
gess101.pdf,7,Social Science,,1
gess102.pdf,7,Social Science,,2
gess103.pdf,7,Social Science,,3
gess104.pdf,7,Social Science,,4
gess105.pdf,7,Social Science,,5
gess106.pdf,7,Social Science,,6
gess107.pdf,7,Social Science,,7
gess108.pdf,7,Social Science,,8
gess201.pdf,7,Social Science,,1
gess202.pdf,7,Social Science,,2
gess203.pdf,7,Social Science,,3
gess204.pdf,7,Social Science,,4
gess205.pdf,7,Social Science,,5
gess206.pdf,7,Social Science,,6
gess207.pdf,7,Social Science,,7
gess301.pdf,7,Social Science,,1
gess302.pdf,7,Social Science,,2
gess303.pdf,7,Social Science,,3
gess304.pdf,7,Social Science,,4
gess305.pdf,7,Social Science,,5
gess306.pdf,7,Social Science,,6
gess307.pdf,7,Social Science,,7
gess308.pdf,7,Social Science,,8
hehd101.pdf,8,English,Honeydew,1
hehd102.pdf,8,English,Honeydew,2
hehd103.pdf,8,English,Honeydew,3
hehd104.pdf,8,English,Honeydew,4
hehd105.pdf,8,English,Honeydew,5
hehd106.pdf,8,English,Honeydew,6
hehd107.pdf,8,English,Honeydew,7
hehd108.pdf,8,English,Honeydew,8
heih101.pdf,8,English,It So Happened,1
heih102.pdf,8,English,It So Happened,2
heih103.pdf,8,English,It So Happened,3
heih104.pdf,8,English,It So Happened,4
heih105.pdf,8,English,It So Happened,5
heih106.pdf,8,English,It So Happened,6
heih107.pdf,8,English,It So Happened,7
heih108.pdf,8,English,It So Happened,8
hemh101.pdf,8,Math,,1
hemh102.pdf,8,Math,,2
hemh103.pdf,8,Math,,3
hemh104.pdf,8,Math,,4
hemh105.pdf,8,Math,,5
hemh106.pdf,8,Math,,6
hemh107.pdf,8,Math,,7
hemh108.pdf,8,Math,,8
hemh109.pdf,8,Math,,9
hemh110.pdf,8,Math,,10
hemh111.pdf,8,Math,,11
hemh112.pdf,8,Math,,12
hemh113.pdf,8,Math,,13
hesc101.pdf,8,Science,,1
hesc102.pdf,8,Science,,2
hesc103.pdf,8,Science,,3
hesc104.pdf,8,Science,,4
hesc105.pdf,8,Science,,5
hesc106.pdf,8,Science,,6
hesc107.pdf,8,Science,,7
hesc108.pdf,8,Science,,8
hesc109.pdf,8,Science,,9
hesc110.pdf,8,Science,,10
hesc111.pdf,8,Science,,11
hesc112.pdf,8,Science,,12
hesc113.pdf,8,Science,,13
hess201.pdf,8,Social Science,,1
hess202.pdf,8,Social Science,,2
hess203.pdf,8,Social Science,,3
hess204.pdf,8,Social Science,,4
hess205.pdf,8,Social Science,,5
hess206.pdf,8,Social Science,,6
hess207.pdf,8,Social Science,,7
hess208.pdf,8,Social Science,,8
hess301.pdf,8,Social Science,,1
hess302.pdf,8,Social Science,,2
hess303.pdf,8,Social Science,,3
hess304.pdf,8,Social Science,,4
hess305.pdf,8,Social Science,,5
hess306.pdf,8,Social Science,,6
hess307.pdf,8,Social Science,,7
hess308.pdf,8,Social Science,,8
hess401.pdf,8,Social Science,,1
hess402.pdf,8,Social Science,,2
hess403.pdf,8,Social Science,,3
hess404.pdf,8,Social Science,,4
hess405.pdf,8,Social Science,,5
iebe101.pdf,9,English,Beehive,1
iebe102.pdf,9,English,Beehive,2
iebe103.pdf,9,English,Beehive,3
iebe104.pdf,9,English,Beehive,4
iebe105.pdf,9,English,Beehive,5
iebe106.pdf,9,English,Beehive,6
iebe107.pdf,9,English,Beehive,7
iebe108.pdf,9,English,Beehive,8
iebe109.pdf,9,English,Beehive,9
iemh101.pdf,9,Math,,1
iemh102.pdf,9,Math,,2
iemh103.pdf,9,Math,,3
iemh104.pdf,9,Math,,4
iemh105.pdf,9,Math,,5
iemh106.pdf,9,Math,,6
iemh107.pdf,9,Math,,7
iemh108.pdf,9,Math,,8
iemh109.pdf,9,Math,,9
iemh110.pdf,9,Math,,10
iemh111.pdf,9,Math,,11
iemh112.pdf,9,Math,,12
iemo101.pdf,9,English,Moments,1
iemo102.pdf,9,English,Moments,2
iemo103.pdf,9,English,Moments,3
iemo104.pdf,9,English,Moments,4
iemo105.pdf,9,English,Moments,5
iemo106.pdf,9,English,Moments,6
iemo107.pdf,9,English,Moments,7
iemo108.pdf,9,English,Moments,8
iemo110.pdf,9,English,Moments,10
iesc101.pdf,9,Science,,1
iesc102.pdf,9,Science,,2
iesc103.pdf,9,Science,,3
iesc104.pdf,9,Science,,4
iesc105.pdf,9,Science,,5
iesc106.pdf,9,Science,,6
iesc107.pdf,9,Science,,7
iesc108.pdf,9,Science,,8
iesc109.pdf,9,Science,,9
iesc110.pdf,9,Science,,10
iesc111.pdf,9,Science,,11
iesc112.pdf,9,Science,,12
iess101.pdf,9,Social Science,,1
iess102.pdf,9,Social Science,,2
iess103.pdf,9,Social Science,,3
iess104.pdf,9,Social Science,,4
iess105.pdf,9,Social Science,,5
iess106.pdf,9,Social Science,,6
iess201.pdf,9,Social Science,,1
iess202.pdf,9,Social Science,,2
iess203.pdf,9,Social Science,,3
iess204.pdf,9,Social Science,,4
iess301.pdf,9,Social Science,,1
iess302.pdf,9,Social Science,,2
iess303.pdf,9,Social Science,,3
iess304.pdf,9,Social Science,,4
iess305.pdf,9,Social Science,,5
iess401.pdf,9,Social Science,,1
iess402.pdf,9,Social Science,,2
iess403.pdf,9,Social Science,,3
iess404.pdf,9,Social Science,,4
iess405.pdf,9,Social Science,,5
jeff101.pdf,10,English,First Flight,1
jeff102.pdf,10,English,First Flight,2
jeff103.pdf,10,English,First Flight,3
jeff104.pdf,10,English,First Flight,4
jeff105.pdf,10,English,First Flight,5
jeff106.pdf,10,English,First Flight,6
jeff107.pdf,10,English,First Flight,7
jeff108.pdf,10,English,First Flight,8
jeff109.pdf,10,English,First Flight,9
jefp101.pdf,10,English,Footprints without Feet,1
jefp102.pdf,10,English,Footprints without Feet,2
jefp103.pdf,10,English,Footprints without Feet,3
jefp104.pdf,10,English,Footprints without Feet,4
jefp105.pdf,10,English,Footprints without Feet,5
jefp106.pdf,10,English,Footprints without Feet,6
jefp107.pdf,10,English,Footprints without Feet,7
jefp108.pdf,10,English,Footprints without Feet,8
jefp109.pdf,10,English,Footprints without Feet,9
jefp110.pdf,10,English,Footprints without Feet,10
jemh101.pdf,10,Math,,1
jemh102.pdf,10,Math,,2
jemh103.pdf,10,Math,,3
jemh104.pdf,10,Math,,4
jemh105.pdf,10,Math,,5
jemh106.pdf,10,Math,,6
jemh107.pdf,10,Math,,7
jemh108.pdf,10,Math,,8
jemh109.pdf,10,Math,,9
jemh110.pdf,10,Math,,10
jemh111.pdf,10,Math,,11
jemh112.pdf,10,Math,,12
jemh113.pdf,10,Math,,13
jemh114.pdf,10,Math,,14
jesc101.pdf,10,Science,,1
jesc102.pdf,10,Science,,2
jesc103.pdf,10,Science,,3
jesc104.pdf,10,Science,,4
jesc105.pdf,10,Science,,5
jesc106.pdf,10,Science,,6
jesc107.pdf,10,Science,,7
jesc108.pdf,10,Science,,8
jesc109.pdf,10,Science,,9
jesc110.pdf,10,Science,,10
jesc111.pdf,10,Science,,11
jesc112.pdf,10,Science,,12
jesc113.pdf,10,Science,,13
jess101.pdf,10,Social Science,,1
jess102.pdf,10,Social Science,,2
jess103.pdf,10,Social Science,,3
jess104.pdf,10,Social Science,,4
jess105.pdf,10,Social Science,,5
jess106.pdf,10,Social Science,,6
jess107.pdf,10,Social Science,,7
jess201.pdf,10,Social Science,,1
jess202.pdf,10,Social Science,,2
jess203.pdf,10,Social Science,,3
jess204.pdf,10,Social Science,,4
jess205.pdf,10,Social Science,,5
jess301.pdf,10,Social Science,,1
jess302.pdf,10,Social Science,,2
jess303.pdf,10,Social Science,,3
jess304.pdf,10,Social Science,,4
jess401.pdf,10,Social Science,,1
jess402.pdf,10,Social Science,,2
jess403.pdf,10,Social Science,,3
jess404.pdf,10,Social Science,,4
jess405.pdf,10,Social Science,,5
jess406.pdf,10,Social Science,,6
jess407.pdf,10,Social Science,,7
jess408.pdf,10,Social Science,,8
